entry_name,unique_names,entries,published,publisher,universal,sony,mushroom,kobalt,bmg,downtown,embassy,native tongue,sentric,warner_chappell,gaga,emi,ourness_songs,future_classic,,finalist_publishers,finalists_published,finalists_published_percent,total_entries,countries,total_amount_raised,total_all_time_raised,finalists_total_amount,finalists_published_total_amounts,finalists_unpublished_total_amounts
Nicole McKinney,Nicole McKinney,1,No,,,,,,,,,,,,,,,,,14,26,65.00%,3837,64,191850,1600000,2000,1300,700
MAY-A,MAY-A,3,Yes,Sony Music Publishing,,1,,,,,,,,,,,,,,,,,,,,,,,
Voyager Run,Voyager Run,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Woods,Lost Woods,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunny.,Sunny.,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Harding & Noah Cyrus,PJ Harding,2,Yes,"Kobalt Music Publishing, Universal Music Publishing",1,,,1,,,,,,,,,,,,,,,,,,,,,
Bella Deer,Noah Cyrus,1,Yes,Mushroom Music,,,1,,,,,,,,,,,,,,,,,,,,,,
Willaris. K,Bella Deer,1,Yes,Mushroom Music,,,1,,,,,,,,,,,,,,,,,,,,,,
Katy Steele,Willaris. K,1,Yes,Sony Music Publishing,,1,,,,,,,,,,,,,,,,,,,,,,,
Chloe Styler,Katy Steele,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilantonie,Chloe Styler,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Stringer,Vigilantonie,1,Yes,Gaga Music,,,,,,,,,,,1,,,,,,,,,,,,,,
TDK90,Liz Stringer,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis Owusu,TDK90,1,Yes,"Kobalt Music Publishing, Sony Music Publishing, Mushroom Music, Ourness Songs, Future Classic",,1,1,1,,,,,,,,,1,1,,,,,,,,,,,
Patrick James,Genesis Owusu,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyl and The Sniffers,Patrick James,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Graace,Amyl and The Sniffers,1,Yes,"Universal Music Publishing, BMG Rights Management, Kobalt Music Publishing",1,,,1,1,,,,,,,,,,,,,,,,,,,,
HT,Graace,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngaiire,HT,1,Yes,"Universal Music Publishing, Embassy Music Publishing",1,,,,,,1,,,,,,,,,,,,,,,,,,
Courtney Keil,Ngaiire,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Phebe Starr,Courtney Keil,1,Yes,Sony Music Publishing,,1,,,,,,,,,,,,,,,,,,,,,,,
DMA'S,Phebe Starr,1,Yes,Universal Music Publishing,1,,,,,,,,,,,,,,,,,,,,,,,,
"Neil Murray, Emma Donovan & Yirrmal",DMA's,1,Yes,Universal Music Publishing,1,,,,,,,,,,,,,,,,,,,,,,,,
Miiesha,Neil Murray,1,Yes,"Sony Music Publishing, BMG Rights Management",,1,,,1,,,,,,,,,,,,,,,,,,,,
Jerome Farah,Emma Donovan,1,Yes,Mushroom Music,,,1,,,,,,,,,,,,,,,,,,,,,,
Baker Boy,Yirrmal,2,Yes,"Kobalt Music Publishing, BMG Rights Management",,,,1,1,,,,,,,,,,,,,,,,,,,,
AYDAN,Miiesha,1,Yes,"Universal Music Publishing, Mushroom Music",1,,1,,,,,,,,,,,,,,,,,,,,,,
Kirklandd,Jerome Farah,1,Yes,Downtown Music,,,,,,1,,,,,,,,,,,,,,,,,,,
Jarryd James,Baker Boy,1,Yes,Sony Music Publishing,,1,,,,,,,,,,,,,,,,,,,,,,,
The Bamboos,AYDAN,1,Yes,BMG Rights Management,,,,,1,,,,,,,,,,,,,,,,,,,,
ASHWARYA,Kirklandd,1,Yes,"Native Tongue, Sentric Music, BMG Rights Management",,,,,1,,,1,1,,,,,,,,,,,,,,,,
Stan Walker,Jarryd James,1,Yes,"EMI Music Publishing, Kobalt Music Publishing, Warner Chappell Music, Universal Music Publishing",1,,,1,,,,,,1,,1,,,,,,,,,,,,,
Ziggy Alberts,The Bamboos,1,Yes,Kobalt Music Publishing,,,,1,,,,,,,,,,,,,,,,,,,,,
Yirrmal,ASHWARYA,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Harding,Stan Walker,1,Yes,"Universal Music Publishing, Kobalt Music Publishing",1,,,1,,,,,,,,,,,,,,,,,,,,,
Budjerah & MAY-A,Ziggy Alberts,1,Yes,"Mushroom Music, Sony Music Publishing",,1,1,,,,,,,,,,,,,,,,,,,,,,
Susan O'Neill & Mick Flannery,Budjerah,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY-A,Susan O'Neill,1,Yes,Sony Music Publishing,,1,,,,,,,,,,,,,,,,,,,,,,,
Gang of Youths,Mick Flannery,1,Yes,Universal Music Publishing,1,,,,,,,,,,,,,,,,,,,,,,,,
The Terrifying Lows,Gang of Youths,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Terrifying Lows,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,9,8,6,7,5,1,1,1,1,1,1,1,1,1,,,,,,,,,,,